time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z,Unnamed: 37
0.0,0.01029012,-0.009545281999999999,0.01411094,-0.06129659,0.02247185,0.07585303,0.01612562,0.17803129999999998,-0.1569469,347.8464,13.136610000000001,357.6706,-0.02439268,-0.002178549,-0.01532836,-0.056587900000000003,-0.03124944,-0.0041494290000000005,-0.1161367,-0.682962,-0.09374581,72.24221,340.4497,310.0643,-0.02928243,0.0067651840000000005,0.009932037,0.19789079999999998,-0.1163964,0.0316896,0.19977709999999999,-0.6568899,-0.197355,69.55381,39.15568,13.425070000000002,
12.451,0.01044672,-0.01006503,0.01353755,-0.07320858,0.02245156,0.07273588,0.01628566,0.17788679999999998,-0.1567551,347.9414,13.13841,357.6551,-0.02549914,-0.003251571,-0.01357458,-0.04833942,-0.0324451,-9.029638e-05,-0.1164671,-0.6830522,-0.09386049,72.25214,340.3707,309.9598,-0.01724982,0.006892250999999999,0.01023723,0.1116952,0.07230683,0.07094365,0.1996454,-0.6567675000000001,-0.1970192,69.44575999999999,39.823170000000005,14.27033,
25.902,0.01048488,-0.01063963,0.01285909,-0.08806004,0.02281953,0.07086322,0.01644363,0.1777338,-0.15657639999999998,348.0473,13.12496,357.6418,-0.02730425,-0.0049434859999999995,-0.01239777,-0.04591943,-0.03975611,0.02354413,-0.1168103,-0.6832406999999999,-0.09393194,72.2721,340.1745,309.7563,-0.01236028,0.006789109000000001,0.0159298,0.10898699999999999,0.1266234,0.08169508,0.1995367,-0.6567521,-0.1967349,69.31479,39.77102,14.411810000000001,
39.723,0.01038114,-0.0111601,0.01231631,-0.09730256,0.02540559,0.06775833,0.01658155,0.17756670000000002,-0.15641870000000002,348.1541,13.1173,357.6322,-0.02864767,-0.006187018000000001,-0.01072079,-0.03738413,-0.05041079,0.04809609,-0.11720919999999999,-0.6832187,-0.09407948,72.28354,339.8986,309.4976,-0.005543048,0.01137011,0.02329435,0.13730789999999998,0.1848972,0.02528062,0.1994025,-0.6566529000000001,-0.196404,69.01831999999999,39.73879,14.522720000000001,
53.580999999999996,0.009762769000000001,-0.01100203,0.01172979,-0.1002367,0.02673526,0.06337878,0.01668856,0.17741729999999997,-0.15627960000000002,348.251,13.10319,357.62800000000004,-0.02768314,-0.005718583,-0.009217928,-0.03103318,-0.03842097,0.04472307,-0.1174847,-0.683534,-0.09406369,72.3015,339.7622,309.3732,-0.0038067009999999996,0.01383835,0.02643346,0.1413459,0.1681356,-0.0126514,0.19930520000000002,-0.6562901,-0.1960059,68.84222,39.6631,14.47205,
67.588,0.009049877,-0.01104463,0.01111869,-0.102682,0.02857405,0.05198922,0.01678832,0.17726,-0.1561452,348.3345,13.0744,357.6477,-0.02682196,-0.005170408,-0.0074220480000000005,-0.02702764,-0.04379451,0.04254533,-0.11775719999999999,-0.6836772,-0.09406997,72.30766,339.6059,309.2165,-0.004885105,0.01591531,0.02772631,0.17699979999999998,0.13231700000000002,-0.04807777,0.199182,-0.6556118000000001,-0.195912,68.64848,39.34268,14.1478,
81.279,0.007941245999999999,-0.01180748,0.01084103,-0.1185239,0.03016548,0.0448339,0.01687898,0.1770654,-0.1559936,348.4637,13.03833,357.6802,-0.02548948,-0.003495823,-0.00416252,-0.007632464,-0.05976903,0.03683637,-0.11804760000000002,-0.6835312,-0.09413484,72.28368,339.4004,309.0114,-0.003243094,0.01464498,0.02590047,0.1516271,0.10409189999999999,-0.07660025,0.1992579,-0.6561618,-0.1954368,68.562,39.30921,14.05994,
95.19699999999999,0.006842327,-0.01416011,0.01038418,-0.15033329999999998,0.04156975,0.03854525,0.01695554,0.1767918,-0.1558525,348.6494,12.98969,357.7233,-0.02286449,-0.004863092,-0.00291348,-0.03652944,-0.05971953,0.05038011,-0.11824389999999999,-0.6837124,-0.0940579,72.31195,339.1343,308.742,-0.0023391320000000003,0.01275299,0.02321208,0.1356845,0.06962296,-0.09818710000000001,0.1992168,-0.6561107,-0.1954007,68.47828,39.22398,13.91053,
109.61500000000001,0.0059015790000000005,-0.01668334,0.01001773,-0.18023689999999998,0.051613099999999995,0.03966123,0.01697053,0.1764002,-0.1557245,348.8315,12.93178,357.7605,-0.01973691,-0.00336648,-0.0006050718,-0.02861259,-0.06187586,0.03473378,-0.11838620000000001,-0.6836358,-0.09405278,72.29330999999999,339.0534,308.6525,-0.0044105179999999996,0.0064953730000000005,0.01396206,0.09860703,0.01540042,-0.08891091,0.1990564,-0.6557628000000001,-0.19601970000000002,68.5092,39.17693,13.81591,
123.198,0.0054153790000000005,-0.01815562,0.009663040999999999,-0.19446889999999997,0.05678517,0.03783605,0.01706362,0.1761996,-0.1556398,348.9999,12.875119999999999,357.8034,-0.01382429,-0.000753027,0.001901151,-0.02144953,-0.05606313,-0.008913158000000001,-0.1184788,-0.6837639,-0.09400012,72.26354,339.0592,308.6207,-0.007084069,-0.002587256,0.009390629000000001,0.03974827,-0.07421634,-0.02556093,0.199127,-0.6560151,-0.1956376,68.62125,39.09552,13.70461,
